,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
1,Milwaukee Bucks,26.8,14,6,16,4,11.05,1.38,12.43,116.3,105.7,103.5,.243,.444,.596,.567,12.8,23.1,.185,.506,11.1,81.3,.167,Fiserv Forum,207434,17286
2,Denver Nuggets,24.5,14,7,16,5,8.00,0.09,8.09,112.7,104.5,97.4,.241,.332,.554,.522,12.0,27.5,.181,.503,13.0,79.0,.205,Pepsi Center,216570,18048
3,Toronto Raptors,27.3,18,4,17,5,8.91,-1.59,7.32,115.8,106.9,100.6,.240,.374,.591,.558,12.7,24.7,.189,.499,12.5,75.7,.185,Scotiabank Arena,217915,19810
4,Los Angeles Clippers,27.9,13,6,12,7,4.37,1.00,5.37,113.5,109.3,101.3,.333,.286,.574,.523,11.7,21.4,.272,.488,10.0,75.5,.218,STAPLES Center,152523,16947
5,Oklahoma City Thunder,25.5,12,7,13,6,5.42,-0.11,5.31,109.1,103.8,101.6,.268,.339,.529,.497,11.6,28.6,.189,.505,15.0,77.6,.206,Chesapeake Energy Arena,182030,18203
6,Golden State Warriors,28.0,15,7,14,8,5.32,-0.29,5.03,115.7,110.4,99.8,.253,.340,.597,.560,13.0,23.3,.208,.509,10.6,77.3,.198,Oracle Arena,254748,19596
7,Charlotte Hornets,26.8,10,10,13,7,4.45,-0.75,3.70,114.1,109.7,99.9,.248,.379,.568,.530,10.7,21.7,.200,.522,13.0,76.6,.198,Spectrum Center,159169,15917
8,Portland Trail Blazers,26.2,12,8,11,9,2.00,1.17,3.17,111.8,109.8,100.2,.253,.355,.557,.514,12.3,26.0,.210,.510,10.2,77.4,.166,Moda Center,194467,19447
9,Boston Celtics,25.8,11,10,12,9,2.81,0.24,3.05,107.0,104.2,99.2,.213,.397,.541,.509,11.8,21.9,.165,.502,13.8,79.1,.194,TD Garden,148992,18624
10,Indiana Pacers,26.8,13,8,13,8,4.29,-1.51,2.78,109.5,105.1,97.2,.235,.292,.562,.536,12.8,20.8,.169,.517,14.3,78.7,.190,Bankers Life Fieldhouse,169068,16907
11,Memphis Grizzlies,28.1,12,8,11,9,1.55,-0.25,1.30,107.8,106.2,95.0,.288,.335,.555,.518,11.8,17.6,.216,.515,14.8,77.2,.230,FedEx Forum,151590,15159
12,New Orleans Pelicans,26.6,10,11,11,10,0.62,0.31,0.93,113.8,113.2,103.9,.291,.305,.569,.530,12.6,26.7,.222,.535,11.4,77.6,.196,Smoothie King Center,155332,15533
13,Dallas Mavericks,26.4,9,9,10,8,1.56,-1.82,-0.26,109.7,108.2,99.8,.302,.391,.569,.532,14.3,23.0,.226,.527,13.6,78.8,.197,American Airlines Center,197910,19791
14,Philadelphia 76ers,25.8,14,8,11,11,0.00,-0.27,-0.27,109.9,109.9,101.9,.338,.364,.569,.522,13.5,22.9,.263,.506,10.5,78.4,.203,Wells Fargo Center,223853,20350
15,San Antonio Spurs,29.5,10,10,10,10,-0.45,0.02,-0.43,110.7,111.2,98.0,.253,.272,.547,.506,10.6,23.5,.205,.535,11.4,79.1,.162,AT&T Center,165421,18380
16,Houston Rockets,29.1,9,10,9,10,-1.11,0.54,-0.57,112.0,113.1,95.6,.282,.488,.563,.527,12.7,24.8,.211,.530,13.0,74.7,.243,Toyota Center,144440,18055
17,Los Angeles Lakers,26.5,11,9,10,10,-0.20,-0.41,-0.61,109.1,109.3,102.8,.248,.326,.558,.531,13.2,22.3,.177,.513,12.4,74.7,.180,STAPLES Center,172870,17287
18,Detroit Pistons,27.3,11,7,10,8,1.11,-2.24,-1.13,109.6,108.5,99.7,.298,.373,.538,.498,11.8,26.3,.220,.518,12.8,79.6,.242,Little Caesars Arena,159432,15943
19,Minnesota Timberwolves,27.0,10,11,9,12,-2.19,0.81,-1.39,109.1,111.3,99.9,.255,.326,.540,.496,11.7,24.5,.209,.522,13.0,72.3,.182,Target Center,160924,14629
20,Sacramento Kings,24.3,10,10,8,12,-2.55,0.90,-1.65,108.9,111.3,104.9,.253,.303,.560,.535,12.3,21.2,.174,.531,13.5,75.3,.211,Golden 1 Center,146429,16270
21,Utah Jazz,26.7,9,12,8,13,-3.38,1.35,-2.03,106.3,109.7,99.3,.331,.380,.552,.514,13.8,21.9,.236,.541,13.4,79.5,.198,Vivint Smart Home Arena,146448,18306
22,Brooklyn Nets,25.7,8,13,10,11,-1.38,-0.69,-2.07,111.5,112.9,98.3,.269,.385,.551,.518,12.2,26.2,.196,.513,11.6,73.6,.241,Barclays Center,129457,14384
23,Orlando Magic,25.8,10,11,8,13,-3.05,0.71,-2.33,107.0,110.1,98.9,.203,.353,.543,.512,11.7,20.4,.158,.527,13.2,76.8,.198,Amway Center,197758,16480
24,Miami Heat,27.1,7,13,9,11,-1.90,-1.47,-3.37,107.2,109.1,100.8,.293,.372,.536,.502,13.2,26.0,.207,.508,12.1,76.2,.221,AmericanAirlines Arena,215686,19608
25,Washington Wizards,27.2,8,12,7,13,-4.60,0.81,-3.79,110.1,114.6,101.8,.313,.368,.560,.519,11.9,20.8,.237,.543,13.8,73.0,.222,Capital One Arena,181850,16532
26,New York Knicks,23.6,7,15,8,14,-5.00,-0.08,-5.08,108.1,113.1,99.5,.272,.317,.534,.492,12.1,26.1,.213,.534,12.7,74.9,.217,Madison Square Garden (IV),173388,19265
27,Cleveland Cavaliers,26.3,4,15,6,13,-6.42,-0.70,-7.12,108.4,115.0,96.5,.244,.273,.538,.499,12.6,27.9,.194,.554,12.4,77.9,.196,Quicken Loans Arena,194320,19432
28,Phoenix Suns,25.6,4,16,4,16,-9.65,2.21,-7.44,104.5,114.2,99.3,.236,.360,.559,.525,14.8,18.4,.183,.539,12.6,75.5,.237,Talking Stick Resort Arena,152865,15287
29,Chicago Bulls,24.1,5,16,5,16,-9.14,0.44,-8.70,101.9,110.9,100.1,.240,.334,.537,.501,13.5,16.2,.187,.521,12.1,75.1,.180,United Center,241507,20126
30,Atlanta Hawks,25.7,5,16,5,16,-10.29,-0.16,-10.45,102.7,112.5,105.2,.268,.397,.544,.509,15.1,20.7,.199,.539,13.8,74.9,.223,State Farm Arena,145198,14520
,League Average,26.5,,,10,10,0.00,0.00,0.00,109.8,109.8,100.1,.266,.352,.556,.520,12.6,23.2,.203,.520,12.6,76.8,.203,,178653,17572